system:index,DNB_BRDF_Corrected_NTL,DNB_Lunar_Irradiance,Gap_Filled_DNB_BRDF_Corrected_NTL,Latest_High_Quality_Retrieval,Mandatory_Quality_Flag,QF_Cloud_Mask,Snow_Flag,date,.geo
2017_11_15,1.735743623393293,0.5,3.3192619892026327,1.5828226850341482,0.16742071926095836,467.7025183376658,0.0,2017-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_16,2.359529918493103,0.5,3.2807529570414022,2.239807924361699,0.25642214597050905,579.8092131153205,0.0,2017-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_17,0.4192307692307693,0.5,3.3147722447619414,3.1791342931724524,0.0,667.5977959021182,0.0,2017-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_18,3.2158946971507527,0.5,3.132028724996981,0.19302757110050947,0.0,52.73270617117968,0.0,2017-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_19,3.6274317690437985,0.5,3.560706626903541,0.11391203521653082,0.0,51.690268981519175,0.0,2017-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_20,2.9082247738312157,0.5,3.411636086984535,1.0373457427805712,0.2617151113918183,609.1691303358067,0.0,2017-11-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_21,4.432775023449016,0.5,3.4173712945302355,2.0189127672643736,1.0341685649202732,680.0784504104614,0.0,2017-11-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_22,2.8728876222452273,0.5,2.8641809711251414,0.22675254601896966,0.04162225822613501,51.537506359524365,0.0,2017-11-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_23,3.2460732794076708,0.5,3.0339053690662046,0.25843917608329325,0.04067434717682101,88.45890542169472,0.0,2017-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_24,3.447066317418226,0.5,3.470655358772725,0.11235094531922973,0.040411688785591704,50.079289915430735,0.0,2017-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_25,4.0408741156204755,0.5,4.030842958038181,0.06256363028517728,0.0,53.63914137750505,0.0,2017-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_26,6.52470092249006,0.5,2.832778235799899,1.0232338307201359,1.113559754128544,499.870984222858,0.0,2017-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_27,,0.5,3.5069155684796645,1.973606888753998,,726.0619469250083,0.0,2017-11-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_28,2.8824246252151653,0.5,2.819819968795618,0.10399741141502034,0.0,53.79487399582935,0.0,2017-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_29,,,,,,,,2017-11-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_30,3.5483892010661404,51.5,3.429159215289501,0.07603750738123019,0.05992378078104402,49.44411498683268,0.0,2017-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
