"system.index","DNB_BRDF_Corrected_NTL","DNB_Lunar_Irradiance","Gap_Filled_DNB_BRDF_Corrected_NTL","Latest_High_Quality_Retrieval","Mandatory_Quality_Flag","QF_Cloud_Mask","Snow_Flag","date",".geo","source","Cloud_Quality"
"2018_05_01",0.590931707124905,82.1,0.927014557610733,0.649016452136552,0.00956500928321708,422.512563860537,0.000322324477731644,2018-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_05_02",0.80187932523832,61.6995341463021,0.803953925687836,0.0116608779929171,0.00621924305854036,60.2244282137566,0,2018-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Confident Clear"
"2018_05_05",1.3431640747346,26.0534787659234,0.849817945912654,0.546828216537584,0.00992004515501109,164.621795201979,0,2018-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Confident Clear"
"2018_05_06",0.43699800770268,19.3,1.12892821653482,0.639582141075104,0.00984238213876655,346.625741148796,0,2018-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_05_07",1.22339018682502,14,1.04242480300634,0.245853627398591,0.0182768592802796,122.995184725106,0,2018-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_05_08",1.37760395384856,0.506714619279491,1.37747223131087,0.000133511854746686,0.000133511854746686,50.3040423597565,0,2018-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_05_09",1.52077972310832,6.296590549633,1.32819051726673,0.132688821313106,0.0298257914605348,114.132560365528,0,2018-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_05_10",0.666635172001875,0.5,1.31283762608719,0.0403148920544804,0,70.0058508212794,0,2018-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_05_12",1.18899141511671,0.5,1.18899141511671,0,0,50.295720700152,0,2018-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_05_13",1.44250421282045,0.5,1.44229165244069,0.000456152336868264,0.000912304673736527,50.2921293102605,0,2018-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_05_14",1.62326271745781,0.5,1.41439436965629,0.140753569348585,0,320.081763607859,0,2018-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Confident Clear"
"2018_05_15",1.09206230240431,0.5,1.22942731766737,0.117450307577063,0,128.790193305939,0,2018-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Confident Clear"
"2018_05_16",0.720866895081758,0.5,1.10288685350482,1.00766121042953,0.0299636663249091,924.666993309871,0,2018-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Confident Clear"
"2018_05_18",1.39282415283561,0.5,1.39208962698408,0.00338440701618227,0.00193394686638987,50.3660948777901,0,2018-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_05_20",2.17201916778151,0.5,1.24916664729546,0.48219741868654,0.00046664608950577,270.688762852293,0,2018-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_05_21",1.03690377493123,0.5,1.00941996440857,0.0428849557578054,0,61.6383231795855,0,2018-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Clear"
"2018_05_22",1.08338260187023,0.5,1.08338260187023,0,0,52.0499460738509,0,2018-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Confident Clear"
"2018_05_24",1.20200794723763,31.4862609191366,1.09632634729852,0.0278072802987379,0.0178594596033128,53.0244366194736,0.00279316280261765,2018-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Clear"
"2018_05_26",NA,54,1.07636020292343,1.68140911413541,NA,469.764694283131,0,2018-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Clear"
"2018_05_27",0.855381747916135,68.4,0.863519059775184,0.0344727608955943,0.00784041415332697,53.6995638823415,0,2018-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Clear"
"2018_05_28",0.818521360349638,87.3,0.815593889375073,0.0122878307025441,0.00750989588125164,85.6571791615328,0.000161162238865822,2018-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Clear"
"2018_05_29",0.884586830507131,116.989440713301,0.870202155831805,0.00965377611025772,0.00853389248551219,50.1425388361496,0,2018-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_05_31",0.196176740992531,70.5,1.06702288549412,1.19649683038282,0.00459442221835682,632.235509192837,0,2018-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Confident Clear"
"2018_06_01",0.899000862030889,54.3,0.921919091889135,0.0184036885116388,0.00755880657580431,50.2239693213921,0,2018-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_06_02",0.875790200975011,41.6,0.880403860681,0.00929111811959221,0.00684683943008179,50.2193621579941,0,2018-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_06_03",1.00267721291743,31.799927427469,0.968524782576824,0.00946761175823689,0.00770486719783314,50.1642917185455,0,2018-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_06_06",1.05179768194076,12.7,1.04214657212905,0.0214243052439309,0.0116520108942208,50.2386408883775,0,2018-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_06_07",0.263739054786578,8.8,1.07953260780033,0.987306046605696,0,693.812562807717,0,2018-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Clear"
"2018_06_08",1.18613988456191,0.5,1.18532334421972,0.00185342021602695,0,50.176233875402,0,2018-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_06_09",NA,0.5,1.08374019305462,1.00185342021603,NA,754.134423685857,0,2018-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_06_11",1.01092683131849,0.5,1.01049596546809,0.00257867160490706,0,50.2291484695456,0,2018-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_06_12",0.944375285272557,0.5,0.94406129477571,0.000644667901226764,0,50.204104069624,0,2018-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_06_13",0.996897113538223,0.5,0.995604078826815,0.00225628667354613,0,50.3162792505526,0,2018-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_06_14",1.44328305507181,0.5,1.44328305507181,0,0,50.189849956706,0,2018-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_06_16",1.16670429827448,0.5,1.16585865542416,0.00130482047263005,0,50.2305145966717,0,2018-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Probably Cloudy"
"2018_06_17",1.29705844866127,0.5,1.02492283309589,0.295914101162298,0,332.388866522143,0,2018-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}","Buffer","Confident Clear"
