"","system.index","DNB_BRDF_Corrected_NTL","DNB_Lunar_Irradiance","Gap_Filled_DNB_BRDF_Corrected_NTL","Latest_High_Quality_Retrieval","Mandatory_Quality_Flag","QF_Cloud_Mask","Snow_Flag","date",".geo","Cloud_Quality","source"
"1","2019_01_07",0.394738421469482,0.5,1.30294239069049,1.83414530093469,0.00260793325047451,386.423472143944,0.00412767738513439,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}","Probably Cloudy","Buffer"
"2","2019_01_08",NA,0.5,1.20784182718384,2.82761979126913,NA,732.9818910874,0.0116077101170915,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}","Confident Clear","Buffer"
"3","2019_01_09",NA,0.5,1.20784182718384,3.82761979126913,NA,733.562394463693,0.0113659651163544,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}","Probably Clear","Buffer"
"4","2019_01_10",1.15656257620719,0.5,1.03412584740951,0.574193238441869,0,229.134132608667,0.0113659651163544,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}","Probably Clear","Buffer"
"5","2019_01_11",0.218115958761662,0.5,1.18390696647946,1.57229923350087,0,801.791400608914,0.0116585871695342,2019-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}","Probably Clear","Buffer"
"6","2019_01_13",1.14398784137278,0.5,1.1439666988661,0,0,135.378021397751,0.0117641333528626,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}","Cloudy","Buffer"
"7","2019_01_14",1.50746668647029,0.5,1.50556742634944,0.00130971351103239,0,138.007935556155,0.0224984014019314,2019-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}","Probably Cloudy","Buffer"
"8","2019_01_15",0.406756995279324,0.511880265755178,1.23766683225527,0.824098633799267,0.0123854140065692,415.356055151357,0.0193911091244834,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}","Cloudy","Buffer"
"9","2019_01_16",NA,31,1.20585261531199,1.82187627639395,NA,524.568053982766,0.0208019203085235,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}","Confident Clear","Buffer"
"10","2019_01_17",1.60518664619685,43.7,0.842262475006931,1.74432653713875,0.0265157141205527,550.131664755618,0.0335439358898579,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}","Probably Cloudy","Buffer"
"11","2019_01_18",NA,60.7,1.20585261531199,2.7145838438814,NA,775.418715139543,0.0290471628696112,2019-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}","Cloudy","Buffer"
"12","2019_01_19",NA,84.2,1.20585261531199,3.7145838438814,NA,767.189827180766,0.0281226857458774,2019-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}","Cloudy","Buffer"
"13","2019_01_20",NA,121.7,1.20585261531199,4.71458384388141,NA,759.554597634407,0.0215006107616342,2019-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}","Cloudy","Buffer"
