Year,CountyNum,CountyName,Sector,RNR,GWh
1990,1,ALAMEDA,Agriculture and Water Pumping,NR,903.9194329
1990,1,ALAMEDA,Commercial,NR,3477.775257
1990,1,ALAMEDA,Industrial,NR,1895.868822
1990,1,ALAMEDA,Mining,NR,107.5516216
1990,1,ALAMEDA,Residential,R,2498.265626
1990,1,ALAMEDA,Streetlighting,NR,71.91101
1990,1,ALAMEDA,"Transportation, Communications, & Utilities",NR,652.2737519
1990,2,ALPINE,Agriculture and Water Pumping,NR,0.299998024
1990,2,ALPINE,Commercial,NR,2.786380896
1990,2,ALPINE,Mining,NR,1.90E-02
1990,2,ALPINE,Residential,R,6.03697824
1990,2,ALPINE,Streetlighting,NR,0.080446
1990,2,ALPINE,"Transportation, Communications, & Utilities",NR,0.395974232
1990,3,AMADOR,Agriculture and Water Pumping,NR,4.945188338
1990,3,AMADOR,Commercial,NR,138.0926878
1990,3,AMADOR,Industrial,NR,46.28174985
1990,3,AMADOR,Mining,NR,3.167123514
1990,3,AMADOR,Residential,R,105.0933881
1990,3,AMADOR,Streetlighting,NR,0.644793
1990,3,AMADOR,"Transportation, Communications, & Utilities",NR,17.75768355
1990,5,CALAVERAS,Agriculture and Water Pumping,NR,8.785089501
1990,5,CALAVERAS,Commercial,NR,36.7862595
1990,5,CALAVERAS,Industrial,NR,5.426728701
1990,5,CALAVERAS,Mining,NR,47.11027225
1990,5,CALAVERAS,Residential,R,138.2993718
1990,5,CALAVERAS,Streetlighting,NR,0.251436
1990,5,CALAVERAS,"Transportation, Communications, & Utilities",NR,7.2903022
1990,6,COLUSA,Agriculture and Water Pumping,NR,58.02180543
1990,6,COLUSA,Commercial,NR,41.61666862
1990,6,COLUSA,Industrial,NR,39.47128882
1990,6,COLUSA,Mining,NR,0.311617041
1990,6,COLUSA,Residential,R,50.59811357
1990,6,COLUSA,Streetlighting,NR,0.480933
1990,6,COLUSA,"Transportation, Communications, & Utilities",NR,5.142436697
1990,7,CONTRA COSTA,Agriculture and Water Pumping,NR,136.6608497
1990,7,CONTRA COSTA,Commercial,NR,1717.440186
1990,7,CONTRA COSTA,Industrial,NR,3817.037416
1990,7,CONTRA COSTA,Mining,NR,79.34850209
1990,7,CONTRA COSTA,Residential,R,2074.798616
1990,7,CONTRA COSTA,Streetlighting,NR,39.273156
1990,7,CONTRA COSTA,"Transportation, Communications, & Utilities",NR,732.4489799
1990,8,DEL NORTE,Agriculture and Water Pumping,NR,9.540823897
1990,8,DEL NORTE,Commercial,NR,63.87681856
